,Name,Score,Location,Category,Rating,Price,Review_count,business_id
55,genwa korean bbq,92.0,"450 W Olympic Blvd,Ste B & C,Los Angeles, CA 90015",korean,4.0,,111,7Kk9_RkS3lefOAih71Hzlw
56,shake shack,90.0,"400 W 8th St,Los Angeles, CA 90014",burgers,3.5,2.0,449,bqp_25iz8wcjcG2MrD3ZTQ
57,suehiro cafe,91.0,"337 E 1st St,Los Angeles, CA 90012",japanese,4.0,2.0,1520,-uxK5hNz5fpeNOgIZo8AKA
58,hayato,93.0,"1320 E 7th St,Ste 126,Los Angeles, CA 90021",japanese,5.0,4.0,107,Kdfu2ZNUp7jKta9j2cZ2NA
59,bar ama,93.0,"118 W 4th St,Los Angeles, CA 90013",tex-mex,4.0,2.0,1258,SGr-W_g4ecqkkEweCc1RVg
60,girl & the goat,99.0,"555 Mateo St,Ste 300,Los Angeles, CA 90013",newamerican,4.5,,691,pLP4joJ99UpIQpNh6kxZFw
61,71 above,92.0,"633 W 5th St,Fl 71,Los Angeles, CA 90071",tradamerican,4.0,4.0,2150,nGlLaC0p0naSlgdy2-HCVw
62,here & now,95.0,"300 S Santa Fe Ave,Ste N,Los Angeles, CA 90013",bars,4.0,2.0,174,cn0oI6wtGmDXzJy9x8kZYw
63,the factory kitchen,98.0,"1300 Factory Pl,Ste 101,Los Angeles, CA 90013",italian,4.0,3.0,1437,cK9wMWnQEW9MdYjc-YWueg
64,death & co - los angeles,90.0,"818 E 3rd St,Los Angeles, CA 90013",cocktailbars,4.0,3.0,163,XU5YmT2y1-V3e5lW_15b0A
65,ototo,94.0,"1360 Allison Ave,Los Angeles, CA 90026",bars,4.0,2.0,87,gAMhVggfelvAxE40Bg-ywQ
66,bavel,93.0,"500 Mateo St,Los Angeles, CA 90013",mideastern,4.5,3.0,1752,wo3wnj3pMSOPkzqpvbey-g
67,bestia,93.0,"2121 E 7th Pl,Los Angeles, CA 90021",italian,4.5,3.0,6727,fEY0zHaDMfIW3-N__joDKQ
68,hachioji craft ramen,93.0,"313 E 1st St,Los Angeles, CA 90012",ramen,4.5,2.0,214,-MG34oqzdbjl4O03AgMppw
69,azay,95.0,"226 E 1st St,Los Angeles, CA 90012",japanese,4.5,2.0,161,jcUgGKhk1NbzNBED6e_tPg
70,restaurante salvadoreño cabañas,93.0,"1003 S Hill St,Los Angeles, CA 90015",tapasmallplates,4.0,1.0,36,Si0Lyewd1nkUBhLTpRbhgw
71,damian,94.0,"2132 E 7th Pl,Los Angeles, CA 90021",mexican,4.0,,164,n8cs5yUAG6XVn52eMChCNw
72,caboco,98.0,"1850 Industrial St,Los Angeles, CA 90021",brazilian,4.5,,77,StdfmfbeUmgdZd0r-m_aUQ
73,shin-sen-gumi hakata ramen - little tokyo,92.0,"132 S Central Ave,Los Angeles, CA 90012",ramen,4.0,2.0,2934,jqS3dVaCYeBehb3tOiWWbQ
74,air food l’appart,93.0,"130 E 6th St,Los Angeles, CA 90014",french,5.0,,87,VB9-IUhiToEhirKHh7M7AA
75,pitchoun!,96.0,"545 S Olive St,Los Angeles, CA 90013",cafes,4.0,2.0,1043,T785BygAMwpVuiGfukiLXA
76,la cha cha chá,96.0,"812 E 3rd St,Los Angeles, CA 90013",mexican,4.0,3.0,340,UUL3cdDeCA0gZIa8lBO1zg
77,thai by trio,94.0,"2700 S Figueroa St,Ste 101,Los Angeles, CA 90007",thai,4.0,2.0,233,4lf6VPVwHR92favXJfpvlQ
78,cafe gratitude,94.0,"300 S Santa Fe Ave,Ste A,Los Angeles, CA 90013",vegan,4.0,2.0,1083,e8Y0i00oKILndcBwm8L7PA
79,melody,93.0,"751 N Virgil Ave,Los Angeles, CA 90029",newamerican,4.0,2.0,254,jJhbNZqBLbLK4IRVuoIgyg
80,kokio chicken - downtown la,91.0,"517 E Olympic Blvd,Los Angeles, CA 90015",chicken_wings,4.5,2.0,35,dB_63hX73oPMiFiI15lSRg
81,shekarchi bar & grill,91.0,"920 S Olive St,Los Angeles, CA 90015",persian,4.5,2.0,653,ltt8RYM6nxMfDTDM6RmrBA
82,paul's kitchen,92.0,"1012 S San Pedro St,Los Angeles, CA 90015",chinese,4.0,2.0,359,K_3Cggqb5xDL_kc8kJsr2w
83,soriana restaurant,93.0,"512 E Washington Blvd,Los Angeles, CA 90015",halal,4.5,2.0,72,UeoX7hrG8jXye4dKPzzMeA
84,oriel chinatown,99.0,"1135 N Alameda St,Los Angeles, CA 90012",french,4.5,2.0,157,9EaRONZCZxomy3TTkLM8DA
85,redbird,96.0,"114 E 2nd St,Los Angeles, CA 90012",cocktailbars,4.0,3.0,1648,5SVj7kpiXxCEnkzL_8wA1g
86,perch,96.0,"448 S Hill St,Los Angeles, CA 90013",lounges,4.0,3.0,8978,K-Fbh2WCHlqR56H9TnfpNA
87,shabu shabu house,94.0,"127 Japanese Village Plaza Mall,Los Angeles, CA 90012",japanese,4.0,2.0,1423,v9RZZLxE39Zx9L0mXB8kww
88,dune downtown,90.0,"199 W Olympic Blvd,Los Angeles, CA 90015",falafel,4.5,2.0,219,-Di-XNK5lOJukf2XmJBnfQ
89,the oyster gourmet,96.0,"317 S Broadway,Los Angeles, CA 90013",seafood,4.0,2.0,277,jEc9UnIE0LnMOpadEWxcLg
90,badmaash - downtown la,92.0,"108 W 2nd St,Ste 104,Los Angeles, CA 90012",indpak,4.0,2.0,1891,EB-RtApkwptE3wRCQO8bCw
91,kushi shabu,96.0,"123 Astronaut E S Onizuka St,Ste 305,Los Angeles, CA 90012",japanese,3.5,2.0,523,NZEgtHnqQ7-SO8r3XjkUQQ
92,torigoya,96.0,"123 Astronaut E S Onizuka St,Ste 203,Los Angeles, CA 90012",japanese,4.0,2.0,178,DFxdMe57YmQ54HK3cu3vpQ
93,sushi komasa,95.0,"351 E 2nd St,Los Angeles, CA 90012",sushi,4.5,2.0,1396,tdUUdnBGAohajNy97l4BZQ
94,shiku,95.0,"317 S Broadway,Los Angeles, CA 90013",korean,4.5,2.0,57,MoY431n8_eGdHWfCVAcesQ
95,la michoacana restaurant,94.0,"1625 East Cesar Chavez E,Los Angeles, CA 90033",mexican,4.5,2.0,31,DCQfd9locPtT4bCOVU2m-Q
96,commodore cafe,91.0,"1203 W 7th St,Los Angeles, CA 90017",cafes,5.0,,1,wJ1lKVU7ORBK9x0YVbOjZg
97,tray dtla,94.0,"100 S Main St,Los Angeles, CA 90012",cafeteria,4.5,,37,l3zhNdd0c5nSVCYWga-QPQ
98,danny boy's famous original pizzeria,98.0,"330 S Hope St,Los Angeles, CA 90071",pizza,4.5,,72,0RqanI3u9-p3s3gEgVQP1g
99,purgatory pizza,95.0,"1326 E 1st St,Los Angeles, CA 90033",pizza,4.0,2.0,999,zDQm3hXszZOov-w6IAI31A
100,chop chop chicken,94.0,"2526 S Figueroa St,Los Angeles, CA 90007",asianfusion,4.5,,53,CLcJ1BVd7zsh9wnnYOjF7w
101,qin west noodle,95.0,"2520 S Figueroa St,Los Angeles, CA 90007",chinese,4.0,1.0,85,j7zBQ2dfP5QDVH8n33X9cg
102,dirt dog,94.0,"2528 S Figueroa St,Los Angeles, CA 90007",hotdog,4.5,2.0,2505,0z23Jk7U_MpvtqKINPL2fA
103,vespaio,91.0,"225 S Grand Ave,Los Angeles, CA 90012",italian,3.5,2.0,728,PnQdOlJG3ErVz4W-HH-0Dg
104,abernethy's,98.0,"220 N Hope St,Los Angeles, CA 90012",newamerican,3.5,3.0,64,n--nWwEfxuhWUFeQn9DmSA
105,kendall's brasserie,97.0,"135 N Grand Ave,Los Angeles, CA 90012",french,3.0,3.0,45,wxHjh5QX-YzYTwc_dVz3lQ
106,jist cafe,96.0,"116 Judge John Aiso St,Los Angeles, CA 90012",newamerican,4.0,2.0,1186,KkuuyGya97GD9sBqpD1YCg
107,shojin downtown,96.0,"333 S Alameda St,Ste 310,Los Angeles, CA 90013",japanese,4.0,3.0,1895,KOuqS-inE44o9-1Jix9Tag
108,the mermaid,95.0,"428 E 2nd St,Los Angeles, CA 90012",cocktailbars,4.0,2.0,174,6VlvPYFbm4NSrzF23i90_w
109,izakaya bizan,90.0,"333 S Alameda St,Ste 314,Los Angeles, CA 90013",izakaya,3.5,2.0,1483,eQpVHQpWGaDhmy5WPsZZPw
110,my ramen bar,95.0,"321 1/4 E 1st St,Los Angeles, CA 90012",ramen,4.0,2.0,815,z1XXH6A872rVz-cg-HH3pg
111,rakkan ramen-dtla,96.0,"359 E 1st St,Los Angeles, CA 90012",ramen,4.0,2.0,806,9eiUNdikDCihYs-ufjiJIw
112,roll spot,99.0,"134 Astronaut E S Onizuka St,Unit 101C,Los Angeles, CA 90012",japanese,4.5,,99,rUSrjIYnt7vtr_X6dvVZXQ
113,sisig,96.0,"1714 W Temple St,Los Angeles, CA 90026",filipino,4.5,2.0,55,OV0dGThU7E0ZevFSuSbqZQ
114,sarita's pupuseria,97.0,"317 S Broadway,Ste E-5,Los Angeles, CA 90013",salvadoran,3.5,1.0,821,FJ_bL5RP28Gyol1YavMA3w
115,thai deli,93.0,"1835 E Cesar E Chavez Ave,Los Angeles, CA 90033",japanese,4.0,1.0,463,DeCGZyFsbhCSEFAmgAqYZQ
116,abc chinese fast food,97.0,"100 W 7th St,Los Angeles, CA 90014",chinese,4.0,1.0,57,yvC0Fa-byDqXErrs4YXVwQ
117,yang chow,93.0,"819 N Broadway,Los Angeles, CA 90012",chinese,4.0,2.0,2860,ZlQo_ArRw-nnHcrcnYPbiA
118,sqirl,96.0,"720 N Virgil Ave,Ste 4,Los Angeles, CA 90029",newamerican,4.0,2.0,2167,q97MIGXESdhak-LhGKDl0Q
119,rhythm room la,97.0,"206 W 6th St,Los Angeles, CA 90014",musicvenues,4.5,2.0,308,c1ozv7ODg7wBTEgWast0eA
120,la pupusa urban eatery,93.0,"1051 W Washington Blvd,Ste G,Los Angeles, CA 90015",salvadoran,4.5,2.0,345,cywwDn2SYCoef0PUYOXygw
121,nickel diner,95.0,"524 S Main St,Los Angeles, CA 90013",diners,4.0,2.0,2466,cgEuMSD2vB36OH-FFAqWIA
122,fortune gourmet kitchen,94.0,"727 N Broadway,Ste 215,Los Angeles, CA 90012",cantonese,4.0,1.0,256,zgrn4ASqGcltVUAnO60mRg
123,mignon,94.0,"128 E 6th St,Los Angeles, CA 90014",wine_bars,4.0,2.0,460,LhIV95NXNmhjLH5f4YBmBQ
124,kai's table,91.0,"1091 S Hope Street,Los Angeles, CA 90015",comfortfood,3.5,,113,c5lBujpxYy8vPqF4bYkGcg
125,el paseo inn,97.0,"11 E Olvera St,Los Angeles, CA 90012",mexican,4.0,2.0,1381,4Ttfvrc3S3xW1sxHF-oFPg
126,la noche buena restaurant,99.0,"12 Olvera St,Los Angeles, CA 90012",mexican,4.5,1.0,358,xY3GGdmvSFUIm-B_RFIjwQ
127,cielito lindo,92.0,"E-23 Olvera St,Ste E,Los Angeles, CA 90012",mexican,4.0,1.0,948,RY_72fCN2JsR9pbTBJD-LQ
128,nick + stef's steakhouse,97.0,"330 S Hope St,Los Angeles, CA 90071",steak,4.0,3.0,771,kaBIHYqe06aC5lXHMOVc7A
